date,package,ghsa_id,severity,alert_number,bucket,action,dismissed_reason,notes
2026-08-01,@babel/core,GHSA-4x5r-pxfx-6jf8,low,105,resolved-in-lockfile,pending-merge,,installed 7.29.7 >= patched 7.29.6
2026-08-01,@hono/node-server,GHSA-92pp-h63x-v22m,medium,44,resolved-in-lockfile,pending-merge,,installed 1.19.17 >= patched 1.19.13
2026-08-01,@hono/node-server,GHSA-frvp-7c67-39w9,medium,113,false-positive,dismissed,not_used,"Windows-only, transitive dev tooling"
2026-08-01,@hono/node-server,GHSA-wc8c-qw6v-h7f6,high,21,resolved-in-lockfile,pending-merge,,installed 1.19.17 >= patched 1.19.10
2026-08-01,ajv,GHSA-2g4f-4pwh-qvx6,medium,"6,7",resolved-in-lockfile,pending-merge,,installed 6.15.0/8.20.0 >= patched 6.14.0
2026-08-01,body-parser,GHSA-v422-hmwv-36x6,low,109,resolved-in-lockfile,pending-merge,,installed 2.3.0 >= patched 2.3.0
2026-08-01,brace-expansion,GHSA-3jxr-9vmj-r5cp,high,"108,110,111",open,none,,transitive (build/lint tooling); a residual copy still < patched 2.1.2
2026-08-01,brace-expansion,GHSA-f886-m6hf-6m8v,medium,"31,32,33",open,none,,transitive (build/lint tooling); a residual copy still < patched 1.1.13
2026-08-01,brace-expansion,GHSA-jxxr-4gwj-5jf2,medium,70,open,none,,transitive (build/lint tooling); a residual copy still < patched 5.0.6
2026-08-01,brace-expansion,GHSA-mh99-v99m-4gvg,high,128,open,none,,transitive (build/lint tooling); a residual copy still < patched 5.0.8
2026-08-01,dompurify,GHSA-39q2-94rc-95cp,medium,51,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-76mc-f452-cxcm,medium,93,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-c2j3-45gr-mqc4,low,118,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-cj63-jhhr-wcxv,medium,39,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-cjmm-f4jc-qw8r,medium,40,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-cmwh-pvxp-8882,medium,103,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-crv5-9vww-q3g8,medium,54,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-gvmj-g25r-r7wr,low,89,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-h7mw-gpvr-xq4m,medium,53,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-h8r8-wccr-v5f2,medium,34,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-hpcv-96wg-7vj8,medium,90,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-r47g-fvhr-h676,medium,91,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-rp9w-3fw7-7cwq,medium,94,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-v2wj-7wpq-c8vv,medium,22,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-v9jr-rg53-9pgp,medium,52,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-vxr8-fq34-vvx9,low,95,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,dompurify,GHSA-x4vx-rjvf-j5p4,low,92,blocked-upstream,dismissed,tolerable_risk,monaco-editor pins vulnerable dompurify; no published monaco has >=3.4.12
2026-08-01,esbuild,GHSA-g7r4-m6w7-qqqr,low,86,false-positive,dismissed,not_used,"dev-server Windows-only, transitive via vite"
2026-08-01,express-rate-limit,GHSA-46wh-pxpv-q5gq,high,23,resolved-in-lockfile,pending-merge,,installed 8.6.1 >= patched 8.2.2
2026-08-01,fast-uri,GHSA-4c8g-83qw-93j6,high,117,resolved-in-lockfile,pending-merge,,installed 3.1.5 >= patched 3.1.3
2026-08-01,fast-uri,GHSA-q3j6-qgpj-74h6,high,60,resolved-in-lockfile,pending-merge,,installed 3.1.5 >= patched 3.1.1
2026-08-01,fast-uri,GHSA-v2hh-gcrm-f6hx,high,119,resolved-in-lockfile,pending-merge,,installed 3.1.5 >= patched 3.1.4
2026-08-01,fast-uri,GHSA-v39h-62p7-jpjc,high,62,resolved-in-lockfile,pending-merge,,installed 3.1.5 >= patched 3.1.2
2026-08-01,flatted,GHSA-25h7-pfq9-p65f,high,25,resolved-in-lockfile,pending-merge,,installed 3.4.4 >= patched 3.4.0
2026-08-01,flatted,GHSA-rf6f-7fwh-wjgh,high,26,resolved-in-lockfile,pending-merge,,installed 3.4.4 >= patched 3.4.2
2026-08-01,hono,GHSA-26pp-8wgv-hjvm,medium,47,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.12
2026-08-01,hono,GHSA-2gcr-mfcq-wcc3,medium,84,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.21
2026-08-01,hono,GHSA-3hrh-pfw6-9m5x,medium,82,resolved-in-lockfile,pending-merge,,installed 4.12.33 >= patched 4.12.21
